Puzzle ID,Puzzle String,Backtracking Time,Backtracking Nodes,Backtracking Backtracks,Backtracking Solved,Forward Checking Time,Forward Checking Nodes,Forward Checking Backtracks,Forward Checking Solved,MRV Time,MRV Nodes,MRV Backtracks,MRV Solved
6090,010000090009000400005403100020341070001000200580000014000126000600507001070000030,1.2315,12735,12682,0,16.2719,3502,4649,0,0.2136,67,15,0
6091,600040007000783000000050000030107040050000020100000003320504086900060002008000500,5.8831,50905,50850,0,49.0305,10494,14399,0,2.5025,645,633,0
6092,008604200360080049000907000001375900030000080900000005200010007010763020070000090,0.0870,752,701,0,0.5719,136,143,0,0.3951,102,59,0
6093,050000040700840006004076100002000070045000690030000400008710900400069008090000060,1.1504,10260,10207,0,18.4448,4126,5848,0,2.7396,653,656,0
6094,090000000000205300001400502050030701100000009306010050205003100004507000000000080,0.2437,2304,2249,0,4.7432,1042,1413,0,1.2937,342,304,0
6095,009005140300900000401070302600000080008030600010000009705040903000006004046500200,0.1099,1057,1005,0,1.3081,279,379,0,0.1883,55,4,0
6096,450000079007000800003000500000020000020601030006708400070040060000205000180000054,12.8310,120680,120625,0,97.2584,19437,31188,0,1.2056,314,275,0
6097,003600500000070201000400060540007000097000620000900017070004000902080000005003100,5.0539,45548,45493,0,43.3716,8879,14266,0,0.7874,215,168,0
6098,500000007090000030007020400050060080020307050000402000001000900005040700006571800,1.8994,21199,21144,0,26.5328,5429,8306,0,0.1792,55,0,0
6099,200000004008000900090108060007405100006307500040000070015080690000000000020976050,0.1012,1128,1075,0,1.9849,421,541,0,0.1729,53,0,0
6100,080902040009010500003807600570000038010000090000401000001000200090000070800060003,0.2598,2019,1964,0,3.3983,751,951,0,0.4562,124,72,0
6101,007004030040007000800200476000009520070000040019400000783001002000500080020900700,8.6001,75852,75799,0,20.9911,4516,6516,0,0.7875,205,164,0
6102,520000039007000100004050800000000000080070060106090407060000090270109054009000200,12.7071,113800,113746,0,68.5186,14546,22656,0,1.3086,328,296,0
6103,000042000500300400900800051805000090001000800090000704140005002006001008000420000,0.3653,3376,3321,0,4.4494,913,1386,0,0.1917,55,0,0
6104,050603070800407009000000000000126000500000006080030040300070008098040130270000054,0.0885,726,673,0,0.7968,193,199,0,0.4363,123,74,0
6105,200060010050020009041000030007900400300000007005002600010000580900010040030040001,0.2119,1911,1856,0,2.4646,520,743,0,0.1882,55,0,0
6106,803706201090258030000000000000000000410000059020805060000904000071000340000010000,1.0837,10185,10130,0,5.7300,1126,1841,0,1.4774,345,313,0
6107,300502004014703560000000000470000086030405010000070000690801057500020008000000000,0.3929,3917,3864,0,6.0925,1184,1942,0,0.2781,72,20,0
6108,800154002000602000050090030580000016003060400906000803000507000200080007070000040,0.2068,1591,1538,0,2.5099,572,719,0,0.5389,133,92,0
6109,204108006010050080008004103806000002020000040400000805902800600040060030600307904,0.1555,1401,1352,0,1.2566,289,379,0,0.6602,179,139,0
6110,920060041067000520000090000400000008000000000032907410000106000005348100080000070,4.0332,34103,34049,0,17.8612,3714,5502,0,1.6648,409,381,0
6111,203610007000009300890070000500040070000706000010050004000060049002400000700085201,0.4563,3985,3932,0,5.1846,1140,1598,0,0.5277,131,87,0
6112,000602030240000050000045000507060002002907600300080905000810000050000068020509000,0.3249,2886,2833,0,5.1767,1144,1595,0,3.4561,887,917,0
6113,000000056074508900000070000090004800300806009008100030000050000005307140430000000,1.8380,17083,17028,0,18.9953,3917,5921,0,1.4653,392,358,0
6114,100000006700000003009801500040000090002903700500607001000709000001030800020050070,0.0994,1081,1026,0,1.0174,216,270,0,0.1948,55,0,0
6115,005006300008030600360000098800507000050080020000302005780000014002010700004700500,0.4010,3869,3817,0,5.4258,1135,1761,0,1.7665,426,418,0
6116,050276040000000000002080500209000105000805000030000020490000063008904200100000004,2.0215,19180,19125,0,18.2312,3731,5457,0,2.9778,716,713,0
6117,063000180007000500000615000700204009000080000020907050006000400000491000045020970,0.4805,4047,3994,0,3.0972,685,977,0,0.2423,74,25,0
6118,000000301005010004001705090000370600080000070007069000010406900900030500806000000,0.8598,7853,7798,0,8.6320,1760,2535,0,0.6229,150,107,0
6119,504208609010465030002000400000702000000609000007000300400090003080000090051000740,2.7689,23836,23783,0,34.0077,7160,10208,0,0.7488,198,154,0
6120,230070068800000001010000030070060010021509780500000006040306070000402000060090040,0.4126,3745,3693,0,8.2344,1805,2451,0,0.3767,106,56,0
6121,000157000001208300200000001000000000500302007406080205105000608800000002072000140,23.6459,226258,226205,0,87.0426,17035,31053,0,1.6918,425,395,0
6122,005000700000609000306070109000090000080365040000104000060030090507000806002706500,3.5665,32848,32795,0,37.6547,7987,12010,0,0.7193,220,177,0
6123,006500090000000020209300601420700080003409700090002045902003508030000000050008100,0.3343,3530,3479,0,2.9378,644,912,0,0.8355,224,186,0
6124,130070904000030050000106000900800340000000000083009001000508000010090000405020069,2.0088,16456,16401,0,4.3638,992,1355,0,0.3398,95,44,0
6125,600201503005080000320005070200000705030000010401000002050400069000050400702806001,1.1604,10145,10094,0,9.9825,2231,3111,0,0.4134,118,72,0
6126,029003500080004096500000008960408000000070000000906034800000001390600020002100870,0.0539,469,417,0,0.6139,149,148,0,0.2343,72,21,0
6127,350106049009000600200000003030070060100060007060593020020010090040000030001030500,1.3228,10936,10884,0,8.6146,1911,2750,0,0.3581,90,42,0
6128,000004007800002600090001030070006340900803006043700010020400070005200001700500000,0.1527,1883,1830,0,2.4620,541,682,0,0.6492,159,115,0
6129,000500070900000001072001406000800019200706005810009000108400620300000008020005000,0.6724,6472,6419,0,5.3190,1154,1704,0,1.1852,283,249,0
6130,009040300100000007000205000030070040807050603000308000210000035740109026000000000,0.0184,211,157,0,0.4391,103,77,0,0.3434,94,43,0
6131,031000840050801020020000010000304000902060301060020070000405000076030490000000000,0.1664,1429,1375,0,2.4060,516,628,0,0.4442,109,58,0
6132,003000090478003160900200000340806000000070000000309075000001003031700689060000200,1.0171,9005,8953,0,10.8937,2278,3555,0,0.2912,81,31,0
6133,640180009010000467050006000004020005900304001200010800000400010371000040400031056,0.0384,358,309,0,0.5267,130,134,0,0.1775,54,6,0
6134,210509078006040300500080001608000204070604080020000010305000107000000000000357000,0.1259,1195,1143,0,2.8806,610,757,0,1.1793,275,240,0
6135,500000002002671300100000008005802900000060000000000000204090506960080043001000800,15.5237,125500,125445,0,9.9759,2306,3235,0,0.5092,132,82,0
6136,870000012000000000609080305013000920000010000090305080000108000002906400060020050,0.4446,4205,4151,0,3.5217,741,1002,0,0.8470,202,163,0
